popularity,genres,vote_average,budget_adj,revenue_adj
32.985763,Action|Adventure|Science Fiction|Thriller,6.5,137999939.280026,1392445892.5238
28.419936,Action|Adventure|Science Fiction|Thriller,7.1,137999939.280026,348161292.489031
13.112507,Adventure|Science Fiction|Thriller,6.3,101199955.47201899,271619025.407628
11.173103999999999,Action|Adventure|Science Fiction|Fantasy,7.5,183999919.040035,1902723129.80182
9.335014,Action|Crime|Thriller,7.3,174799923.08803302,1385748801.47052
9.1107,Western|Drama|Adventure|Thriller,7.2,124199945.352024,490314247.02173096
8.654359,Science Fiction|Action|Thriller|Adventure,5.8,142599937.256027,405355075.683766
7.6674,Drama|Adventure|Science Fiction,7.6,99359956.2816192,547749654.3101519
7.40416499999999,Family|Animation|Adventure|Comedy,6.5,68079970.0448131,1064192016.7955099
6.326804,Comedy|Animation|Family,8.0,160999929.16003102,785411574.698907
6.200282,Action|Adventure|Crime,6.2,225399900.824043,810220283.783075
6.189369,Science Fiction|Fantasy|Action|Adventure,5.2,161919931.51523,169268630.681802
6.118847,Drama|Science Fiction,7.6,13799993.9280026,33919845.9552677
5.984995,Action|Comedy|Science Fiction,5.8,80959964.37761559,224146025.095748
5.944927,Action|Adventure|Science Fiction,7.4,257599886.656049,1292632336.88177
5.8984,Crime|Drama|Mystery|Western,7.4,40479982.18880779,143299244.588332
5.749758,Crime|Action|Thriller,6.1,44159980.5696085,299709578.207785
5.5731839999999995,Science Fiction|Action|Adventure,7.0,119599947.376023,477113780.029936
5.556818,Romance|Fantasy|Family|Drama,6.8,87399961.54401691,498963025.21626794
5.476958,War|Adventure|Science Fiction,6.5,147199935.232028,598481289.508232
5.4621379999999995,Action|Family|Science Fiction|Adventure|Mystery,6.2,174799923.08803302,192312729.942398
5.337064,Action|Drama,7.3,27599987.856005296,84373003.7158783
4.907832,Action|Drama|Thriller,6.1,101199955.47201899,432851374.985395
4.71040199999999,Drama|Romance,5.3,36799983.808007106,524079119.045187
4.648046,Comedy|Drama,7.3,25759988.665604897,122678731.54135801
4.566713,Action,7.1,137999939.280026,627743451.672881
4.5645489999999995,Comedy,6.3,62559972.4736121,198594430.13845
4.503789,Crime|Comedy|Action|Adventure,7.6,74519967.21121441,371497801.660967
4.062293,Drama|Thriller|History,7.8,18399991.9040035,81278719.39736341
3.968891,Action|Science Fiction|Thriller,6.4,56119975.30721079,286356245.923251
3.927333,Mystery|Drama,6.4,0.0,27006774.877019
3.899557,Crime|Action|Science Fiction,6.6,45079980.164808705,93903685.2423785
3.877764,Comedy|Music,6.8,26679988.260805104,264505582.09754303
3.6482099999999997,Thriller|Drama,7.1,36799983.808007106,149601569.335309
3.6445410000000003,Adventure|Horror|Comedy,6.2,53359976.5216103,138157089.01088
3.557846,Drama|Thriller,8.0,5519997.57120106,32569603.029374603
3.358321,Crime|Drama|Mystery,6.2,0.0,20566197.1908732
3.3391349999999997,Adventure|Animation|Comedy|Family|Fantasy,6.6,160999929.16003102,305371920.876354
3.23737,Action|Crime|Drama|Mystery|Thriller,6.3,45999979.7600089,65836683.5118592
3.227329,Drama|Romance,7.3,10119995.5472019,57110024.5915891
3.2027189999999996,Drama|Music,7.7,25759988.665604897,185504110.098191
3.080505,Fantasy|Action|Adventure,5.6,82799963.56801601,129164861.16746101
3.0795220000000003,History|Drama,6.9,27599987.856005296,31686509.2179359
3.0534209999999997,Comedy|Action|Adventure,7.0,68999969.64001329,99493456.50287908
3.025852,Fantasy|Drama|Romance,7.3,22999989.8800044,39219376.6634742
3.023253,Action|Adventure|Science Fiction,5.9,9199995.95200178,13187080.9976843
2.976436,Fantasy|Comedy|Animation|Science Fiction|Family,6.9,124199945.352024,339361177.121082
2.968254,Drama|Mystery|Romance,6.2,11039995.1424021,78671281.38463621
2.93234,Thriller|Crime|Drama,5.3,27599987.856005296,0.0
2.8851259999999996,Thriller|Comedy|Drama|Romance|Science Fiction,6.6,3679998.38080071,8339346.45068756
2.883233,Romance|Drama,7.1,10855995.2233621,37050347.8978469
2.8148020000000002,Comedy,7.1,32199985.8320062,178999419.480255
2.7980169999999998,Adventure|Drama,6.7,50599977.7360098,187153294.93255
2.793297,Comedy|Drama,6.4,55199975.71201059,93043293.3409509
2.6144990000000004,Action|Crime|Thriller,5.5,96599957.49601871,123021159.990689
2.584264,Drama,6.3,18399991.9040035,33678188.7415969
2.578919,Science Fiction|Mystery|Thriller,6.2,23919989.475204602,28081355.564203497
2.575711,Comedy|Adventure,5.3,55199975.71201059,27985062.8865723
2.557859,Drama,7.3,13799993.9280026,59056175.175282896
2.5507470000000003,Mystery|Crime|Action|Thriller|Drama,5.0,64399971.6640124,16332697.613613
2.487849,Action|Crime|Drama|Mystery|Thriller,7.1,27599987.856005296,77303716.7063646
2.4870419999999998,Action|Adventure|Science Fiction,4.4,110399952.34402,154539320.322699
2.46449,Mystery|Horror,5.8,3219998.58320062,37190013.0363942
2.404473,Action|Comedy|Crime,6.9,59799973.6880115,216812826.082356
2.395366,Romance|Comedy|Crime|Drama,6.7,46091979.7195289,141645863.63582
2.354654,Action|Crime|Thriller,5.5,32199985.8320062,75759810.18568349
2.345821,Thriller|Drama|Adventure|Action|History,6.4,91999959.5200178,86315059.3813738
2.331636,Crime|Thriller|Action,5.4,18399991.9040035,0.0
2.3315669999999997,Drama,7.3,32199985.8320062,126900665.803707
2.31767,Comedy,6.1,32199985.8320062,129532072.56588799
2.29573,Drama|Thriller|War,7.2,11959994.737602301,30220316.9030605
2.28135,Crime|Thriller,6.7,22999989.8800044,39535137.0845396
2.2720439999999997,Thriller,5.5,0.0,42223.381421712096
2.234573,Adventure|Family|Fantasy,5.9,137999939.280026,118117202.42843
2.165433,Action|Adventure|Fantasy,5.1,0.0,0.0
2.141506,Comedy|Drama,7.7,0.0,0.0
2.140199,Adventure|Animation|Comedy|Family,6.4,91079959.92481759,226534364.284879
2.121884,Drama,6.9,32199985.8320062,44733666.5571867
2.096273,Comedy,6.1,22999989.8800044,48204295.110110104
2.0809349999999998,Drama|Horror|Thriller,4.8,2299998.98800044,4796917.44935632
2.070708,Romance|Drama,7.3,31279986.236806,57972193.012235
2.060162,Animation|Comedy|Family,6.8,73599967.61601421,428888671.76898396
2.055572,Family|Comedy,5.3,15639993.118403,22079990.2848042
2.049886,Adventure|Drama|Thriller,6.8,32199985.8320062,56287361.873560704
2.0266509999999998,Action|Crime|Drama,5.9,10119995.5472019,1714249.04573042
2.000338,Adventure|Comedy,6.1,28519987.4512055,96033410.70529921
1.984529,Horror|Thriller,5.0,32199985.8320062,87802915.846717
1.9800389999999999,Horror,5.1,3679998.38080071,172142.964257095
1.9597650000000002,Drama|Romance|Science Fiction,5.6,0.0,1839999.19040035
1.95632,Crime|Thriller,5.9,45999979.7600089,3058382.2543117995
1.926739,Thriller|Mystery,6.6,4599997.97600089,54260336.885451704
1.904898,Comedy,5.7,45999979.7600089,221131463.342156
1.876037,Fantasy|Action|Adventure,5.4,0.0,0.0
1.872696,Thriller|Science Fiction|Action|Adventure,4.1,9199995.95200178,0.0
1.865007,Adventure|Animation|Fantasy,7.5,58879974.0928114,89765510.50317529
1.841779,Adventure|Animation|Comedy|Family,5.7,0.0,215055014.135793
1.82313,Drama,6.9,10975595.1707381,16872792.5759712
1.758618,Romance|Comedy,6.8,7819996.55920151,40046325.65961671
1.742286,Horror,5.5,9199995.95200178,48651435.1533685
1.73518,Action|Adventure|Comedy|Family,5.3,27599987.856005296,98989419.0846556
1.7247119999999898,Adventure|Animation|Family,7.0,0.0,0.0
1.661789,Action|Drama|Science Fiction,5.4,0.0,0.0
1.6510779999999898,Thriller,3.9,3679998.38080071,46150034.4539848
1.646664,Thriller|Action,5.6,0.0,0.0
1.532997,Comedy,6.2,27599987.856005296,45322311.73818279
1.5100959999999999,Comedy,6.5,21159990.689604,73415857.2970227
1.499614,Comedy|Horror,6.2,13799993.9280026,13671898.704364501
1.495112,Horror|Thriller,5.9,4599997.97600089,90574017.18743241
1.4832459999999899,Crime|Drama,6.3,48759978.5456094,91793583.3708233
1.449072,Crime|Action|Thriller,5.4,8187996.39728158,46125.099704956105
1.448002,Horror|Comedy|Fantasy,5.9,13799993.9280026,56624785.5250943
1.443406,Drama|Mystery|Thriller,5.7,18399991.9040035,191900.87556361398
1.41239,Action|Thriller,6.7,4599997.97600089,50065340.2112503
1.40805,Crime|Drama|Comedy,7.3,643999.716640124,16547831.2389542
1.3882510000000001,Comedy|Action,5.9,25759988.665604897,25951426.781372197
1.388032,Drama,7.3,10119995.5472019,56690166.216326796
1.38032,Action|Fantasy|Adventure,4.5,0.0,0.0
1.3766049999999999,Comedy,5.9,27599987.856005296,96610126.25154442
1.360926,Science Fiction|Thriller,6.3,11039995.1424021,29668368.665917702
1.360827,Comedy|Science Fiction,5.8,0.0,4774472.21923222
1.3558219999999999,Thriller|Action|Crime,5.3,22999989.8800044,66819266.9995225
1.345982,Mystery|Thriller|Fantasy|Horror|Drama,6.4,50599977.7360098,68705406.0096213
1.342839,Thriller|Action,5.1,0.0,0.0
1.338481,Comedy|Drama|Music,6.3,13615994.0089626,112619962.88721599
1.338322,Horror|Thriller,5.0,9199995.95200178,71851557.1453148
1.329702,Romance|Thriller|Western,6.6,0.0,210766.38726278898
1.316239,Drama,7.2,13799993.9280026,7576804.78620589
1.315266,Crime|Drama|Mystery,6.2,17939992.1064034,29614535.809604198
1.29314,Comedy,6.4,0.0,2300395.50782597
1.291013,Family|Animation,5.7,68079970.0448131,286666383.306791
1.284541,Crime|Drama|Mystery,6.0,0.0,4342117.4894683
1.278928,Adventure|Drama|Family,7.0,18399991.9040035,40449856.802063
1.25358,Family|Animation|Comedy|Adventure,6.9,0.0,54923975.83345061
1.251681,Drama,6.3,10119995.5472019,0.0
1.2452239999999999,Comedy|Drama,6.3,0.0,1566237.67085542
1.225325,Action|Drama|Crime,5.6,36799983.808007106,9811564.7629115
1.191138,Horror|Thriller,5.6,919999.595200178,57851497.3453411
1.178831,Action|Crime|Comedy,5.5,32199985.8320062,47545763.999863796
1.1647239999999999,Drama|Horror|Thriller,6.3,9199995.95200178,95959500.6978197
1.161812,Drama|Science Fiction|Thriller,5.5,0.0,109004.312038102
1.144808,Action|Adventure|Fantasy,4.5,0.0,0.0
1.142518,Comedy|Drama,5.9,5519997.57120106,38076655.2862716
1.138395,Drama|Science Fiction|Thriller,5.5,36799983.808007106,31489100.3047958
1.128081,Adventure|Drama|Family,7.5,0.0,0.0
1.1252389999999999,Animation|Comedy|Drama|Romance,6.7,7359996.76160142,3458541.59824169
1.0733489999999999,Horror|Western|Adventure|Drama,6.3,1655999.27136032,0.0
1.065888,Horror|Mystery|Thriller,5.2,0.0,16257405.7667414
1.0630549999999999,Drama,6.6,0.0,0.0
1.046518,Drama,7.1,0.0,10554653.0359526
1.041922,Thriller|Action,5.8,18399991.9040035,0.0
1.03839,Drama|Romance,6.8,1839999.19040035,1358841.24210985
1.036825,Horror|Thriller,5.3,0.0,0.0
1.02762,Horror|Thriller|Comedy|Crime,6.0,0.0,0.0
1.021441,Action|Adventure,6.3,0.0,3352102.24507501
1.0084739999999999,Romance|Fantasy|Horror,5.7,11039995.1424021,0.0
1.0070540000000001,Mystery|Drama,6.1,10119995.5472019,25199786.192094002
0.973316,Drama|History,6.0,13799993.9280026,0.0
0.956096,Comedy|Drama|Music,5.5,16559992.713603199,38019285.0315145
0.9536469999999999,Comedy|Drama|Romance,7.2,0.0,0.0
0.953046,Action|Comedy|Science Fiction|Fantasy,7.7,579617.224968421,0.0
0.950793,Drama|Thriller,5.6,11039995.1424021,55451294.7614303
0.9384319999999999,Crime|Drama|Mystery|Thriller,5.8,0.0,1781601.29609542
0.9376200000000001,Drama|Comedy,5.9,9199995.95200178,6980483.12858742
0.9273389999999999,Comedy,5.9,36799983.808007106,97990493.6441828
0.91704,Drama|Action|Crime|Thriller,5.8,0.0,0.0
0.913085,Comedy|Western,4.8,55199975.71201059,0.0
0.90686,Comedy|Thriller,5.1,0.0,0.0
0.9060360000000001,History|Drama,5.8,22999989.8800044,22910495.079382103
0.898295999999999,Drama|History,7.1,12879994.3328024,14722219.9222232
0.8944770000000001,Drama,6.0,0.0,0.0
0.880937999999999,Drama|Music|Romance,6.2,5519997.57120106,10232318.297779901
0.880268,Adventure|Action|Comedy,5.5,0.0,5588.997540841079
0.874641,History|Drama|War,6.4,0.0,12137055.0996957
0.872149,Action|Thriller,4.2,0.0,15432.9932094829
0.8611790000000001,Comedy|Drama,5.2,0.0,0.0
0.848748,Music|Action|Adventure|Comedy|Family,6.7,0.0,0.0
0.843174,Music|Romance|Comedy,6.6,0.0,0.0
0.842202,Romance|Drama,6.9,0.0,27811566.6029106
0.8369409999999989,Drama,7.3,0.0,2762652.06443309
0.8324870000000001,Drama|Comedy,6.4,9199995.95200178,79099969.91601321
0.829111,Comedy|Drama|War,7.1,18399991.9040035,5906690.88105601
0.821443,Action|Adventure|Animation|Family,6.4,0.0,0.0
0.820691,Drama|Thriller,7.7,0.0,1827684.9958186
0.814206,Adventure|Comedy|Romance,5.2,34039985.0224065,24150007.7739965
0.813893,Romance|Comedy,3.6,23919989.475204602,0.0
0.810667,Action|Animation|Science Fiction,5.3,0.0,0.0
0.795762,Drama|Comedy,5.7,25759988.665604897,6442077.28548599
0.792471,Drama|Science Fiction,5.1,0.0,0.0
0.7879689999999989,Thriller,6.4,0.0,213197.946192903
0.781809,Drama,4.5,0.0,0.0
0.7739090000000001,Animation|Comedy|Family|Adventure,5.6,0.0,0.0
0.77107,Thriller,5.5,0.0,123787.785533374
0.768138,Thriller,4.3,0.0,0.0
